#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T11:00:53 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T11:00:53	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=50	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
 	 	 	mag	deg	deg	mas	mas/yr	mas/yr	mas	mag	mag	mag	 	deg	deg
------	-----------	-----------	-----	------------	------------	-------	--------	--------	------	------	------	------	-	------------	------------
 59196	12 08 21.54	-50 43 20.7	 2.58	182.08976505	-50.72240999	   8.25	  -47.53	   -6.42	  0.79	 2.435	 2.551	-0.128	P	182.08958257	-50.72242559
 59316	12 10 07.53	-22 37 11.3	 3.02	182.53135773	-22.61979211	  10.75	  -71.52	   10.55	  0.71	 4.758	 3.161	 1.326	 	182.53116941	-22.61976647
 59449	12 11 39.15	-52 22 06.3	 3.97	182.91313090	-52.36841559	   9.53	  -42.17	  -18.39	  0.73	 3.769	 3.936	-0.156	 	182.91296303	-52.36846029
 59747	12 15 08.76	-58 44 56.0	 2.79	183.78648733	-58.74890179	   8.96	  -36.68	  -10.72	  0.60	 2.534	 2.755	-0.193	P	183.78631548	-58.74892785
 59774	12 15 25.45	+57 01 57.4	 3.32	183.85603795	+57.03259792	  40.05	  103.56	    7.81	  0.60	 3.421	 3.314	 0.077	 	183.85650051	+57.03261690
 59803	12 15 48.47	-17 32 31.1	 2.58	183.95194937	-17.54198370	  19.78	 -159.58	   22.31	  0.81	 2.490	 2.572	-0.107	 	183.95154259	-17.54192947
 60129	12 19 54.39	-00 40 00.3	 3.89	184.97663096	-00.66674709	  13.06	  -59.14	  -23.13	  0.84	 3.941	 3.894	 0.026	 	184.97648721	-00.66680331
 60260	12 21 21.81	-60 24 04.9	 3.59	185.34088036	-60.40136988	  14.30	 -171.06	   91.82	  0.56	 5.422	 3.753	 1.389	 	185.34003859	-60.40114670
 60823	12 28 02.41	-50 13 50.2	 3.91	187.01004828	-50.23060480	   7.36	  -32.49	  -12.41	  0.67	 3.669	 3.878	-0.192	 	187.00992483	-50.23063496
 60965	12 29 51.98	-16 30 54.3	 2.94	187.46659650	-16.51509397	  37.11	 -209.97	 -139.30	  0.69	 2.944	 2.959	-0.012	 	187.46606420	-16.51543255
 61199	12 32 28.11	-72 07 58.7	 3.84	188.11712896	-72.13297590	  10.07	  -50.59	   -5.16	  0.52	 3.656	 3.816	-0.157	P	188.11672818	-72.13298844
 61281	12 33 29.04	+69 47 17.6	 3.85	188.37101041	+69.78820992	   6.55	  -58.14	   11.42	  0.55	 3.733	 3.869	-0.116	 	188.37060139	+69.78823768
 61359	12 34 23.23	-23 23 47.8	 2.65	188.59680864	-23.39662306	  23.34	    0.86	  -56.00	  0.80	 3.795	 2.758	 0.893	 	188.59681092	-23.39675917
 61585	12 37 11.08	-69 08 07.9	 2.69	189.29618208	-69.13553358	  10.67	  -39.87	  -12.44	  0.48	 2.457	 2.659	-0.176	 	189.29590999	-69.13556382
 61622	12 37 42.33	-48 32 28.6	 3.85	189.42636588	-48.54128816	  24.77	 -186.61	   -6.45	  0.69	 3.922	 3.858	 0.049	 	189.42568082	-48.54130384
 61932	12 41 31.20	-48 57 35.6	 2.20	190.38002079	-48.95988553	  25.01	 -187.28	   -1.20	  1.01	 2.204	 2.182	-0.023	 	190.37932752	-48.95988844
