#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T11:03:46 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T11:03:46	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=50	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
 	 	 	mag	deg	deg	mas	mas/yr	mas/yr	mas	mag	mag	mag	 	deg	deg
------	-----------	-----------	-----	------------	------------	-------	--------	--------	------	------	------	------	-	------------	------------
 86248	17 37 27.31	-50 03 34.1	 5.89	264.36379930	-50.05948478	   9.43	    0.84	  -89.48	  0.88	 7.315	 6.015	 1.109	 	264.36380248	-50.05970227
 86254	17 37 31.10	+24 18 35.9	 5.76	264.37957747	+24.30996890	  13.59	   -6.19	    9.29	  0.66	 5.898	 5.772	 0.114	 	264.37956096	+24.30999148
 86266	17 37 36.20	-15 34 15.7	 5.94	264.40085142	-15.57103656	   1.22	    0.99	   -0.64	  0.99	 6.358	 5.981	 0.357	 	264.40085392	-15.57103812
 86284	17 37 50.72	-08 07 07.4	 4.58	264.46133236	-08.11872126	   5.94	  -11.70	  -20.38	  0.81	 4.738	 4.628	 0.132	 	264.46130363	-08.11877079
 86305	17 38 05.57	-54 30 00.3	 5.25	264.52319296	-54.50007025	  23.71	  -49.68	 -149.54	  0.75	 5.487	 5.270	 0.195	 	264.52298502	-54.50043372
 86313	17 38 09.51	-10 55 34.5	 5.74	264.53963734	-10.92624683	   7.67	  -14.40	   -8.61	  0.86	 7.322	 5.878	 1.228	 	264.53960169	-10.92626776
 86486	17 40 23.73	-49 24 54.6	 4.76	265.09888468	-49.41515481	  45.72	  104.28	 -177.67	  0.79	 5.240	 4.806	 0.415	 	265.09927428	-49.41558665
 86552	17 41 16.23	-46 55 18.5	 5.78	265.31763202	-46.92181116	   4.94	   10.77	   -7.68	  0.90	 5.764	 5.781	-0.004	 	265.31767035	-46.92182983
 86561	17 41 21.81	+51 49 05.5	 6.00	265.34085523	+51.81818247	   9.83	  -28.54	   -0.27	  0.48	 7.364	 6.112	 1.068	 	265.34074301	+51.81818181
 86565	17 41 24.92	-12 52 30.6	 4.24	265.35381884	-12.87517268	  19.41	  -72.16	  -55.22	  1.07	 4.356	 4.253	 0.086	 	265.35363893	-12.87530690
 86575	17 41 32.32	+06 18 47.4	 5.97	265.38468625	+06.31316423	   2.63	   -2.97	   -3.22	  0.78	 7.612	 6.100	 1.271	 	265.38467899	+06.31315640
 86614	17 41 56.31	+72 08 58.2	 4.57	265.48461270	+72.14949916	  45.38	   26.60	 -269.77	  0.82	 5.073	 4.613	 0.434	D	265.48482361	+72.14884347
 86620	17 41 58.04	+72 09 27.3	 5.81	265.49182676	+72.15757591	  44.80	   34.97	 -273.61	  1.94	 6.362	 5.790	 0.530	D	265.49210415	+72.15691089
 86623	17 41 58.64	+15 57 07.8	 5.54	265.49432602	+15.95217942	  28.15	   -6.99	  103.01	  0.81	 5.998	 5.586	 0.387	 	265.49430835	+15.95242979
 86667	17 42 28.40	+24 33 51.5	 5.56	265.61832228	+24.56431006	   8.92	  -55.19	 -103.84	  0.64	 7.446	 5.725	 1.436	 	265.61817479	+24.56405767
 86698	17 42 51.09	-36 56 43.8	 5.53	265.71288389	-36.94550742	   6.02	    8.42	  -23.50	  0.88	 7.579	 5.709	 1.553	 	265.71290950	-36.94556454
